Snooze Lodge	Vela is located in beautiful Monteverde, famous for its rare and gorgeous cloud forest and friendly community.	2024-04-22	Brussels	19865	https://picsum.photos/200/300/?blur	https://picsum.photos/200/300.jpg,https://picsum.photos/200/300?grayscale,https://picsum.photos/seed/picsum/200/300,https://picsum.photos/id/237/200/300,https://picsum.photos/200,https://picsum.photos/200/300/?blur	1	0	4	hotel	6	4	Fridge,Baby seat,Laptop friendly workspace,Air conditioning	65c0bf5135a2c753f9298e63	82.499,20.850
Vagabond Cabin	Comfortable rooms and suites overlook lush gardens with panoramic views of the Arenal Volcano.	2024-03-31	Dusseldorf	37141	https://picsum.photos/200/300.jpg	https://picsum.photos/200/300?grayscale,https://picsum.photos/200/300.jpg,https://picsum.photos/id/237/200/300,https://picsum.photos/200/300/?blur,https://picsum.photos/seed/picsum/200/300,https://picsum.photos/200	1	0	5	hotel	6	4	Baby seat,Air conditioning,Breakfast,Laptop friendly workspace,Washer,Fridge	65c0bf5135a2c753f9298e63	-23.352,35.791
Snooze Lodge	Comfortable rooms and suites overlook lush gardens with panoramic views of the Arenal Volcano.	2024-03-24	Amsterdam	9718	https://picsum.photos/seed/picsum/200/300	https://picsum.photos/seed/picsum/200/300,https://picsum.photos/200/300?grayscale,https://picsum.photos/200/300.jpg,https://picsum.photos/id/237/200/300,https://picsum.photos/200/300/?blur,https://picsum.photos/200	1	1	4	room	7	8	Breakfast	65c0bf5135a2c753f9298e63	92.448,142.017
Downtowner Hotel	Each of the 210 modern guest rooms have wireless internet and satellite TV.	2024-05-22	Brussels	67523	https://picsum.photos/id/237/200/300	https://picsum.photos/200/300.jpg,https://picsum.photos/200/300?grayscale,https://picsum.photos/id/237/200/300,https://picsum.photos/200/300/?blur,https://picsum.photos/200,https://picsum.photos/seed/picsum/200/300	1	0	5	house	1	3	Baby seat,Towels	65c0bf5135a2c753f9298e63	92.715,42.910
Voltage Hotel	Each of the 210 modern guest rooms have wireless internet and satellite TV.	2024-09-01	Hamburg	46332	https://picsum.photos/id/237/200/300	https://picsum.photos/200/300?grayscale,https://picsum.photos/200/300.jpg,https://picsum.photos/id/237/200/300,https://picsum.photos/seed/picsum/200/300,https://picsum.photos/200/300/?blur,https://picsum.photos/200	1	0	3	apartment	7	6	Breakfast	65c0bf5135a2c753f9298e63	-30.529,-127.147
Snooze Lodge	Comfortable rooms and suites overlook lush gardens with panoramic views of the Arenal Volcano.	2024-09-21	Amsterdam	44017	https://picsum.photos/seed/picsum/200/300	https://picsum.photos/seed/picsum/200/300,https://picsum.photos/id/237/200/300,https://picsum.photos/200/300/?blur,https://picsum.photos/200,https://picsum.photos/200/300?grayscale,https://picsum.photos/200/300.jpg	0	1	2	house	3	9	Fridge,Breakfast,Laptop friendly workspace	65c0bf5135a2c753f9298e63	-47.321,-159.100
Voltage Hotel	Each of the 210 modern guest rooms have wireless internet and satellite TV.	2024-12-01	Hamburg	44128	https://picsum.photos/200	https://picsum.photos/seed/picsum/200/300,https://picsum.photos/id/237/200/300,https://picsum.photos/200,https://picsum.photos/200/300/?blur,https://picsum.photos/200/300?grayscale,https://picsum.photos/200/300.jpg	1	0	3	hotel	5	7	Fridge,Air conditioning	65c0bf5135a2c753f9298e63	-77.378,145.629
Raspberry Hotel	Each of the 210 modern guest rooms have wireless internet and satellite TV.	2024-12-18	Brussels	200	https://picsum.photos/200	https://picsum.photos/seed/picsum/200/300,https://picsum.photos/id/237/200/300,https://picsum.photos/200/300?grayscale,https://picsum.photos/200/300/?blur,https://picsum.photos/200/300.jpg,https://picsum.photos/200	1	1	5	apartment	1	10	Air conditioning	65c0bf5135a2c753f9298e63	173.001,48.063
Downtowner Hotel	Comfortable rooms and suites overlook lush gardens with panoramic views of the Arenal Volcano.	2024-01-14	Brussels	4377	https://picsum.photos/id/237/200/300	https://picsum.photos/seed/picsum/200/300,https://picsum.photos/id/237/200/300,https://picsum.photos/200/300.jpg,https://picsum.photos/200/300?grayscale,https://picsum.photos/200/300/?blur,https://picsum.photos/200	1	1	3	room	6	5	Laptop friendly workspace,Baby seat,Washer,Towels,Air conditioning	65c0bf5135a2c753f9298e63	173.929,51.440
Vagabond Cabin	Vela is located in beautiful Monteverde, famous for its rare and gorgeous cloud forest and friendly community.	2024-12-26	Brussels	98494	https://picsum.photos/200/300/?blur	https://picsum.photos/seed/picsum/200/300,https://picsum.photos/id/237/200/300,https://picsum.photos/200/300/?blur,https://picsum.photos/200/300.jpg,https://picsum.photos/200/300?grayscale,https://picsum.photos/200	1	1	2	house	2	1	Air conditioning,Breakfast	65c0bf5135a2c753f9298e63	154.144,147.286
